date,dose_type,N
2020-12-12,,30
2020-12-13,,3
2020-12-14,,7
2020-12-15,,37
2020-12-16,,714
2020-12-17,,1068
2020-12-18,,3694
2020-12-19,,2617
2020-12-20,,2101
2020-12-21,,1571
2020-12-22,,1848
2020-12-23,,2250
2020-12-24,,2173
2020-12-25,,202
2020-12-26,,2906
2020-12-27,,2738
2020-12-28,,3142
2020-12-29,,4485
2020-12-30,,4599
2020-12-31,,3073
2021-01-01,,969
2021-01-02,,3884
2021-01-03,,2633
2021-01-04,,3561
2021-01-05,,3800
2021-01-06,,5553
2021-01-07,,5742
2021-01-08,,7492
2021-01-09,,5825
2021-01-10,,4406
2021-01-11,,5196
2021-01-12,,6324
2021-01-13,,6405
2021-01-14,,7769
2021-01-15,,7693
2021-01-16,,8703
2021-01-17,,4625
2021-01-18,,6578
2021-01-19,,9656
2021-01-20,,11557
2021-01-21,,12087
2021-01-22,,12019
2021-01-23,,11968
2021-01-24,,9578
2021-01-25,,11059
2021-01-26,,14004
2021-01-27,,10416
2021-01-28,,11089
2021-01-29,,12142
2021-01-30,,11745
2021-01-31,,9579
2021-02-01,,8597
2021-02-02,,10439
2021-02-03,,11483
2021-02-04,,11628
2021-02-05,,11005
2021-02-06,,10387
2021-02-07,,4097
2021-02-08,,9974
2021-02-09,,12141
2021-02-10,,13329
2021-02-11,,13908
2021-02-12,,14253
2021-02-13,,3646
2021-02-14,,2474
2021-02-15,,14792
2021-02-16,,14218
2021-02-17,,14608
2021-02-18,,13520
2021-02-19,,11068
2021-02-20,,12748
2021-02-21,,6699
2021-02-22,,5568
2021-02-23,,13313
2021-02-24,,13905
2021-02-25,,17270
2021-02-26,,19535
2021-02-27,,21374
2021-02-28,,11801
2021-03-01,,14092
2021-03-02,,17767
2021-03-03,,19283
2021-03-04,,18312
2021-03-05,,19846
2021-03-06,,21786
2021-03-07,,11972
2021-03-08,,11985
2021-03-09,,17386
2021-03-10,,17795
2021-03-11,,19491
2021-03-12,,19000
2021-03-13,,25122
2021-03-14,,10328
2021-03-15,,13180
2021-03-16,,18355
2021-03-17,,21796
2021-03-18,,21473
2021-03-19,,21916
2021-03-20,,25787
2021-03-21,,13328
2021-03-22,,14418
2021-03-23,,20603
2021-03-24,,26858
2021-03-25,,26837
2021-03-26,,28403
2021-03-27,,30813
2021-03-28,,16922
2021-03-29,,17121
2021-03-30,,24489
2021-03-31,,36133
2021-04-01,,32544
2021-04-02,,33304
2021-04-03,,36244
2021-04-04,,8616
2021-04-05,,23585
2021-04-06,,32125
2021-04-07,,41139
2021-04-08,,31093
2021-04-09,,33251
2021-04-10,,39707
2021-04-11,,13730
2021-04-12,,22121
2021-04-13,,26928
2021-04-14,,30012
2021-04-15,,32671
2021-04-16,,37108
2021-04-17,,38537
2021-04-18,,16806
2021-04-19,,23554
2021-04-20,,29100
2021-04-21,,38833
2021-04-22,,33466
2021-04-23,,33512
2021-04-24,,44062
2021-04-25,,18872
2021-04-26,,24600
2021-04-27,,32277
2021-04-28,,37980
2021-04-29,,29468
2021-04-30,,37004
2021-05-01,,33896
2021-05-02,,10355
2021-05-03,,20822
2021-05-04,,23368
2021-05-05,,25264
2021-05-06,,27819
2021-05-07,,28015
2021-05-08,,30538
2021-05-09,,9610
2021-05-10,,18243
2021-05-11,,23167
2021-05-12,,22900
2021-05-13,,26592
2021-05-14,,31950
2021-05-15,,38930
2021-05-16,,14178
2021-05-17,,24543
2021-05-18,,26284
2021-05-19,,27406
2021-05-20,,24432
2021-05-21,,26645
2021-05-22,,28845
2021-05-23,,6559
2021-05-24,,16877
2021-05-25,,17403
2021-05-26,,17144
2021-05-27,,15951
2021-05-28,,18012
2021-05-29,,9237
2021-05-30,,2885
2021-05-31,,3033
2021-06-01,,12559
2021-06-02,,10039
2021-06-03,,11883
2021-06-04,,15904
2021-06-05,,15459
2021-06-06,,4549
2021-06-07,,10876
2021-06-08,,12010
2021-06-09,,12626
2021-06-10,,11723
2021-06-11,,11215
2021-06-12,,10940
2021-06-13,,4054
2021-06-14,,8970
2021-06-15,,8654
2021-06-16,,7906
2021-06-17,,6503
2021-06-18,,8068
2021-06-19,,4567
2021-06-20,,2093
2021-06-21,,4382
2021-06-22,,5116
2021-06-23,,5034
2021-06-24,,4422
2021-06-25,,6295
2021-06-26,,3425
2021-06-27,,1738
2021-06-28,,3061
2021-06-29,,4336
2021-06-30,,5057
2021-07-01,,4437
2021-07-02,,5262
2021-07-03,,2746
2021-07-04,,462
2021-07-05,,2710
2021-07-06,,4190
2021-07-07,,3840
2021-07-08,,3877
2021-07-09,,4819
2021-07-10,,2870
2021-07-11,,1398
2021-07-12,,3393
2021-07-13,,3350
2021-07-14,,2939
2021-07-15,,3316
2021-07-16,,4033
2021-07-17,,2194
2021-07-18,,1126
2021-07-19,,2960
2021-07-20,,3104
2021-07-21,,3836
2021-07-22,,3573
2021-07-23,,3636
2021-07-24,,2244
2021-07-25,,1206
2021-07-26,,3135
2021-07-27,,3270
2021-07-28,,3143
2021-07-29,,3223
2021-07-30,,3751
2021-07-31,,2526
2021-08-01,,1432
2021-08-02,,3207
2021-08-03,,3649
2021-08-04,,3336
2021-08-05,,3433
2021-08-06,,4029
2021-08-07,,2288
2021-08-08,,1472
2021-08-09,,3714
2021-08-10,,3349
2021-08-11,,3247
2021-08-12,,3356
2021-08-13,,3879
2021-08-14,,2702
2021-08-15,,1752
2021-08-16,,4355
2021-08-17,,4196
2021-08-18,,4145
2021-08-19,,4410
2021-08-20,,4717
2021-08-21,,3081
2021-08-22,,1726
2021-08-23,,4930
2021-08-24,,4503
2021-08-25,,4630
2021-08-26,,4361
2021-08-27,,5231
2021-08-28,,3024
2021-08-29,,1888
2021-08-30,,4681
2021-08-31,,4351
2021-09-01,,3918
2021-09-02,,3899
2021-09-03,,5161
2021-09-04,,2950
2021-09-05,,1954
2021-09-06,,1204
2021-09-07,,4591
2021-09-08,,4298
2021-09-09,,4483
2021-09-10,,5338
2021-09-11,,3230
2021-09-12,,1911
2021-09-13,,5218
2021-09-14,,4073
2021-09-15,,3887
2021-09-16,,3785
2021-09-17,,5281
2021-09-18,,3339
2021-09-19,,1892
2021-09-20,,4377
2021-09-21,,3713
2021-09-22,,3580
2021-09-23,,3613
2021-09-24,,6938
2021-09-25,,5712
2021-09-26,,3129
2021-09-27,,8412
2021-09-28,,9770
2021-09-29,,9183
2021-09-30,,9429
2021-10-01,,10700
2021-10-02,,5631
2021-10-03,,3044
2021-10-04,,8441
2021-10-05,,8234
2021-10-06,,7569
2021-10-07,,7726
2021-10-08,,8719
2021-10-09,,5313
2021-10-10,,2255
2021-10-11,,6911
2021-10-12,,6568
2021-10-13,,6876
2021-10-14,,7155
2021-10-15,,7831
2021-10-16,,4188
2021-10-17,,2150
2021-10-18,,6512
2021-10-19,,6714
2021-10-20,,6246
2021-10-21,,6943
2021-10-22,,9648
2021-10-23,,8263
2021-10-24,,4460
2021-10-25,,10900
2021-10-26,,11863
2021-10-27,,12203
2021-10-28,,12613
2021-10-29,,14571
2021-10-30,,10543
2021-10-31,,4684
2021-11-01,,11515
2021-11-02,,12444
2021-11-03,,11906
2021-11-04,,13356
2021-11-05,,16591
2021-11-06,,15367
2021-11-07,,9877
2021-11-08,,12970
2021-11-09,,15201
2021-11-10,,15668
2021-11-11,,14678
2021-11-12,,17913
2021-11-13,,20841
2021-11-14,,12344
2021-11-15,,12170
2021-11-16,,13499
2021-11-17,,14310
2021-11-18,,13973
2021-11-19,,16582
2021-11-20,,18235
2021-11-21,,9215
2021-11-22,,15062
2021-11-23,,15402
2021-11-24,,13809
2021-11-25,,562
2021-11-26,,11426
2021-11-27,,11689
2021-11-28,,8149
2021-11-29,,15904
2021-11-30,,19639
2021-12-01,,19274
2021-12-02,,19245
2021-12-03,,23317
2021-12-04,,28066
2021-12-05,,17619
2021-12-06,,16782
2021-12-07,,18615
2021-12-08,,17876
2021-12-09,,17671
2021-12-10,,19474
2021-12-11,,23155
2021-12-12,,15668
2021-12-13,,14945
2021-12-14,,18052
2021-12-15,,16848
2021-12-16,,17891
2021-12-17,,20218
2021-12-18,,18284
2021-12-19,,14155
2021-12-20,,18210
2021-12-21,,18313
2021-12-22,,17825
2021-12-23,,14759
2021-12-24,,3587
2021-12-25,,68
2021-12-26,,2299
2021-12-27,,8088
2021-12-28,,11471
2021-12-29,,13132
2021-12-30,,9306
2021-12-31,,4165
2022-01-01,,2088
2022-01-02,,5490
2022-01-03,,10631
2022-01-04,,13013
2022-01-05,,13846
2022-01-06,,13949
2022-01-07,,16978
2022-01-08,,11769
2022-01-09,,7554
2022-01-10,,11949
2022-01-11,,13417
2022-01-12,,11551
2022-01-13,,11755
2022-01-14,,13692
2022-01-15,,10111
2022-01-16,,6430
2022-01-17,,7845
2022-01-18,,10162
2022-01-19,,9455
2022-01-20,,8986
2022-01-21,,10615
2022-01-22,,8836
2022-01-23,,4879
2022-01-24,,7791
2022-01-25,,8121
2022-01-26,,7914
2022-01-27,,7292
2022-01-28,,9171
2022-01-29,,5765
2022-01-30,,3953
2022-01-31,,5871
2022-02-01,,5833
2022-02-02,,5554
2022-02-03,,5462
2022-02-04,,6923
2022-02-05,,4651
2022-02-06,,2715
2022-02-07,,4546
2022-02-08,,4545
2022-02-09,,4746
2022-02-10,,4236
2022-02-11,,5506
2022-02-12,,3785
2022-02-13,,1497
2022-02-14,,3264
2022-02-15,,3524
2022-02-16,,3741
2022-02-17,,3466
2022-02-18,,4925
2022-02-19,,2897
2022-02-20,,1803
2022-02-21,,2673
2022-02-22,,3265
2022-02-23,,2960
2022-02-24,,3071
2022-02-25,,3664
2022-02-26,,2285
2022-02-27,,968
2022-02-28,,2527
2022-03-01,,2303
2022-03-02,,2595
2022-03-03,,2322
2022-03-04,,2874
2022-03-05,,1831
2022-03-06,,798
2022-03-07,,1857
2022-03-08,,1717
2022-03-09,,1785
2022-03-10,,1679
2022-03-11,,2224
2022-03-12,,1611
2022-03-13,,829
2022-03-14,,1601
2022-03-15,,1680
2022-03-16,,1773
2022-03-17,,1538
2022-03-18,,2342
2022-03-19,,1418
2022-03-20,,777
2022-03-21,,1603
2022-03-22,,1531
2022-03-23,,1653
2022-03-24,,1394
2022-03-25,,1924
2022-03-26,,1187
2022-03-27,,641
2022-03-28,,1447
